Kode Sub-Kegiatan,Nama Sub-Kegiatan,Kode Kegiatan,Nama Kegiatan,Kode Program,Nama Program,Jumlah Kode Rekening
4.01.4.5.06.1,Penyusunan Rencana Program dan Kegiatan Keistimewaan,4.01.4.5.06,Perencanaan dan Pengendalian Pelaksanaan Kegiatan Keistimewaan,04.01.04,PROGRAM PENYELENGGARAAN KEISTIMEWAAN YOGYAKARTA URUSAN KELEMBAGAAN DAN KETATALAKSANAAN,6
7.01.1.2.01.1,Penyusunan Dokumen Perencanaan Perangkat Daerah,7.01.1.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat",7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.01.7,Evaluasi Kinerja Perangkat Daerah,7.01.1.2.01,"Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat",7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.02.1,Penyediaan Gaji dan Tunjangan ASN,7.01.1.2.02,Administrasi Keuangan Perangkat Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,9
7.01.1.2.02.2,Penyediaan Administrasi Pelaksanaan Tugas ASN,7.01.1.2.02,Administrasi Keuangan Perangkat Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,2
7.01.1.2.02.7,Koordinasi dan Penyusunan Laporan Keuangan Bulanan/ Triwulanan/ Semesteran SKPD,7.01.1.2.02,Administrasi Keuangan Perangkat Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.06.2,Penyediaan Peralatan dan Perlengkapan Kantor,7.01.1.2.06,Administrasi Umum Perangkat Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.06.9,Penyelenggaraan Rapat Koordinasi dan Konsultasi SKPD,7.01.1.2.06,Administrasi Umum Perangkat Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,2
7.01.1.2.07.10,Pengadaan Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,7.01.1.2.07,Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3
7.01.1.2.08.2,"Penyediaan Jasa Komunikasi, Sumber Daya Air dan Listrik",7.01.1.2.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,3
7.01.1.2.08.4,Penyediaan Jasa Pelayanan Umum Kantor,7.01.1.2.08,Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,8
7.01.1.2.09.2,"Penyediaan Jasa Pemeliharaan, Biaya Pemeliharaan, Pajak dan Perizinan Kendaraan Dinas Operasional atau Lapangan",7.01.1.2.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.09.9,Pemeliharaan/Rehabilitasi Gedung Kantor dan Bangunan Lainnya,7.01.1.2.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,4
7.01.1.2.09.10,Pemeliharaan/Rehabilitasi Sarana dan Prasarana Gedung Kantor atau Bangunan Lainnya,7.01.1.2.09,Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah,7.01.1,PROGRAM PENUNJANG URUSAN PEMERINTAHAN DAERAH KABUPATEN/KOTA,6
7.01.2.2.01.1,Koordinasi/Sinergi Perencanaan dan Pelaksanaan Kegiatan Pemerintahan dengan Perangkat Daerah dan Instansi Vertikal Terkait,7.01.2.2.01,Koordinasi Penyelenggaraan Kegiatan Pemerintahan di Tingkat Kecamatan,7.01.2,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,12
7.01.2.2.01.2,Peningkatan Efektifitas Kegiatan Pemerintahan di Tingkat Kecamatan,7.01.2.2.01,Koordinasi Penyelenggaraan Kegiatan Pemerintahan di Tingkat Kecamatan,7.01.2,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,7
7.01.2.2.04.1,Pelaksanaan Urusan Pemerintahan yang Terkait dengan Pelayanan Perizinan Non Usaha,7.01.2.2.04,Pelaksanaan Urusan Pemerintahan yang Dilimpahkan kepada Camat,7.01.2,PROGRAM PENYELENGGARAAN PEMERINTAHAN DAN PELAYANAN PUBLIK,5
7.01.3.2.01.3,Peningkatan Efektifitas Kegiatan Pemberdayaan Masyarakat di Wilayah Kecamatan,7.01.3.2.01,Koordinasi Kegiatan Pemberdayaan Desa,7.01.3,PROGRAM PEMBERDAYAAN MASYARAKAT DESA DAN KELURAHAN,6
7.01.5.2.01.2,"Fasilitasi, Koordinasi dan Pembinaan (Bimtek, Sosialisasi, Konsultasi) Wawasan Kebangsaan dan Ketahanan Nasional",7.01.5.2.01,Penyelenggaraan Urusan Pemerintahan Umum Sesuai Penugasan Kepala Daerah,7.01.5,PROGRAM PENYELENGGARAAN URUSAN PEMERINTAHAN UMUM,7
